['Pat Kenny Tonight review: ready to sort out any mess with an arch of his eyebrow']	The Irish Times	['October 6, 2016, 02:47']	[' Water charges, insurance costs, housing crisis, homelessness, health service cuts, ', ', Trump']
['Recycling company plans to turn Brexit into an opportunity']	The Irish Times	['October 3, 2016, 16:28']	[' A hard post-', ' border would be a rubbish prospect for businesses in the North but it would not']
[u'Why Brexit will be Margaret Thatchers revenge']	The Irish Times	[]	['Article 50, providing for ', ', will be triggered by the end of March next year, British Prime']
[u'Dont count on luring big banks from London, says City boss']	The Irish Times	['October 3, 2016, 14:26']	[u'Dublins attractions for banks seeking to relocate staff from London after ', ' are partly offset']
['Used car imports rising as sterling value undermines local prices']	The Irish Times	['October 3, 2016, 13:45']	['If the importing of used cars from the United Kingdom has not yet quite become the post-']
['Consumer sentiment dips in September amid ongoing uncertainty']	The Irish Times	['October 3, 2016, 12:00']	[u', the report said. In recent months, developments such as the UKs ', ' vote and the outsized 26 per']
['Permanent TSB seen selling UK loans within year by Davy']	The Irish Times	['October 3, 2016, 09:18']	[u' Britains mortgage-funding market following the ', ' vote. Upgrading its rating on the 75 per cent']
[u'Brexit: Return of hard Border cannot be ruled out']	The Irish Times	[]	[' immigration from the European Union after ', ', even if that means leaving the European single market']
['Immigration controls may not block access to single market, claims Hammond ']	The Irish Times	[]	['-year process of negotiating ', ' under Article 50 of the EU treaties will start by the end of March 2017']
['Five things you need to know today']	The Irish Times	[]	[u' from the Civil Service received lump sums of over 100,000.  http://iti.ms/2dLqu4W  2. ', ': UK to']
['Manufacturing growth slows as firms remain cautious']	The Irish Times	['October 3, 2016, 07:47']	[' over ', u'. Investecs headline purchasing managers index (PMI) softened slightly to 51.3 in']
['Sterling slumps to new three-year low against euro ']	The Irish Times	[]	[u' stocks, many in the market worry that the governments stance points to a so-called hard ', u' that']
['How Irish food industry can beef up its innovation game ']	The Irish Times	[]	[u' the shop. For food businesses facing into post-', ' uncertainty and pressures of adverse currency']
[u'Brendan Howlins Brexit advice to British Labour Party ']	The Irish Times	[]	[u' have done. He then called for a second referendum on ', u' (Howlin calls for second British']
['Brexit: UK to insist on control over EU immigration']	The Irish Times	[]	[' Union after ', ', even if that means leaving the European single market.  The prime minister told the']
[u'Analysis: Process takes shape and its a hard exit from EU']	The Irish Times	['October 3, 2016, 01:00']	[u' After months of declaiming blankly that ', ' means ', u', Theresa May has at last begun to']
[u'Brexit process: Next steps in Britains EU divorce ']	The Irish Times	[]	[u's repeated insistence on no negotiation without notification.  David Daviss ', ' ministry, expected']
['Ministers told to engage with Northern  colleagues on Brexit']	The Irish Times	['October 3, 2016, 01:00']	[' counterparts in Northern Ireland to prepare for the negotiations on ', ', Minister for Foreign Affairs and']
[u'No Westminster politician  can set a boundary on Scotlands march as a nation']	The Irish Times	[]	[u'Alex Salmond: Nicola Sturgeon  will protect her countrys post-', ' position in the EU   ']
['UK may pack  EU wine, property in bag after Brexit break-up ']	The Irish Times	[]	[' over ', ' with Brussels.  As in any divorce, untangling EU-UK financial affairs is expected to be']
[u'British government says it will work closely with North during Brexit']	The Irish Times	['October 2, 2016, 15:50']	[' Foster has stated. The DUP leader whose party took a ', ' stance in the British EU referendum welcomed']
[u'Analysis: As hard-exit looms for the UK, the Irish focus now is on a Brexit-proofed Budget']	The Irish Times	['October 2, 2016, 15:15']	[u' next March puts the focus on the Government here to deliver on its promise of a ', u'-proofed Budget']
['Theresa May says Brexit will be triggered by end of March']	The Irish Times	[]	[u'Speaking on the BBCs Andrew Marr show, British prime minister Theresa May says Article 50 will be triggered by the end of March 2017, meaning Britain']
['Theresa May signals Britain to leave EU in summer 2019']	The Irish Times	[]	[' two-year process to enact ', u'.  Britains shock vote to leave the European Union in June propelled']
[u'Goldman Sachs: Sterling isnt even cheap yet']	The Irish Times	['October 1, 2016, 07:10']	[' times; by not adjusting to a ', u'-style structural break, they miss the ructions that ', ' may']
['RBS  top brass set tongues wagging over meeting with IDA ']	The Irish Times	[]	[' market share, improve its capital efficiency and reduce its costs. ', u' RBSs meeting with the IDA']
[u'Roy Foster: The Irish argue about history all the time ']	The Irish Times	['October 1, 2016, 06:00']	[u' have nationalism, because they didnt need it. Furious about ', ' Everyone is talking about English']
['Cliff Taylor: Why schemers may be Budget 2017  winners ']	The Irish Times	['October 1, 2016, 05:00']	[', businesses hit by ', u' and a host of smaller targets.  Most schemes wont amount to much  and many could']
[u'Michael OLoughlin: We need to be more ashamed of ourselves']	The Irish Times	[]	[' victory in the general election, immediately resigned as leader because of the ', ' vote. Why do Irish']
['World View: Voter turnout key to deciding US presidential race']	The Irish Times	['October 1, 2016, 01:00']	[' access and voice.  However, the Scottish referendum and the ', ' vote bucked the trend in the United']
