[u'Ireland must have government to respond to Brexit vote']	The Irish Times	['April 8, 2016, 11:34']	[' severe turn for the worse if there was no official policy response to a ', u', Merrions chief']
['Owen Paterson returns to campaign for Brexit']	The Irish Times	['April 5, 2016, 04:00']	[' drawbacks of the European Union, or a tense debate about the changes that ', ' might deliver for the local']
['Sustaining Northern standard of living is a costly exercise']	The Irish Times	['April 5, 2016, 01:00']	['-sustaining economy, it will remain vulnerable to policy changes in London.  ', ' could be the trigger which might']
['Alastair Campbell urges Irish interest in Brexit']	The Irish Times	['April 5, 2016, 01:00']	['Voters in Britain are not seized of the implications for Ireland of the looming ', ' referendum']
['Brexit  is a threat to UK-Irish relations, says British ambassador']	The Irish Times	['April 4, 2016, 22:03']	[' relationship with the EU upon ', ', such a relationship would almost certainly involve some sort of customs']
['Dispute over number of EU migrants in UK']	The Irish Times	[]	[' Leave campaigners if they prove to be higher than current official statistics. Last month, ']
['Irish food industry knows how to survive a Brexit']	The Irish Times	[]	['When it comes to the idea of a British exit from the European Union (', '), there seems to be']
['Goodbody warns against failing to form government']	The Irish Times	['April 4, 2016, 01:00']	[' and scaremongering over ', ' have added to the external factors of threats of euro zone deflation']
['Irish passport wait times lengthen as UK applications  rise']	The Irish Times	['April 2, 2016, 18:00']	[' a so-called ', ' - an exit of Britain from the EU.  According to an update on the Passport Office']
[u'Europes future and the Brexit debate']	The Irish Times	[]	['-called ', u' debate. The idea that the United Kingdom would be given a sweetheart deal in the event of its']
['Central Bank says mortgage lending rules are here to stay']	The Irish Times	['April 2, 2016, 01:02']	[' ', u' referendum which creates uncertainty and is a downside risk factor. Pointing to household debt']
[u'Cliff Taylor: Why the reluctance to govern in the worlds fastest-growing economy?']	The Irish Times	['April 2, 2016, 01:00']	[' through world markets in January and February has abated.  One other possible threat is ', '. Investors']
['NTMA to  to  hold bond auctions this month and next']	The Irish Times	['April 2, 2016, 01:00']	[' government or fears about the impact of ', '. Yesterday 10-year Irish bond yields were trading about 0']
['Business Week: The business of looking to the future . . . ']	The Irish Times	['April 1, 2016, 17:20']	[u' effectively be 30 per cent more expensive.  Fine Gael MEP Sen Kelly also said there was no doubt a ']
[u' April Fools Day: The best and worst pranks for 2016 ']	The Irish Times	['April 1, 2016']	[u' Championship. ', u' was definitely the theme of April Fools pranks across the UK media, with the Telegraph']
['Central Bank revises 2016 growth upwards']	The Irish Times	['April 1, 2016, 11:01']	[u' that protracted uncertainty could lead to an adverse impact. ', ' On the external front, the']
['Steering  the fishing industry through choppy waters']	The Irish Times	['April 1, 2016, 07:00']	[' players on shared branding, she says.  ', ' The big challenge would be a British exit from the EU']
['Forming a  government']	The Irish Times	[]	[u' confront us  ', ', Trump, China, and the migrant issue. These, combined with our internal issues, such']
[u'Europes future  and the Brexit debate ']	The Irish Times	[]	[' from the leading proponents for ', ' that the subsequent deal, in the event of such an outcome, would']
['UK property funds see biggest outflows since 2008']	The Irish Times	[]	[u' London. Prices and rents are at or above 2007 levels in core markets and the prospect of ']
[u'British current account deficit balloons, Osborne warns against EU Brexit']	The Irish Times	[]	[u' Britains current account deficit widened to a record high at the end of last year, highlighting a weak spot in an economy coming under sharper focus']
['Home rule and the Commonwealth']	The Irish Times	[]	[' the event of ', ', it would be highly expedient for the Irish government to consider this option as']
[u'Peter Sutherland: The Brexiteers magical thinking on global trade']	The Irish Times	[]	[' you believe a number of magical things. First, some claim a post-', ' UK would miraculously']
['Uncertainty over Brexit already curbing UK growth, says Davy']	The Irish Times	['March 31, 2016, 01:00']	[' Uncertainty over the looming ', u' vote has started to hurt growth in the UK economy']
[u'Bill Clinton urges Irish to find way through splintered electorate']	The Irish Times	['March 30, 2016, 21:48']	[u'Northern Ireland would get whacked by ', ', former president tells Irish audience   ']
['Brexit: NI polls show preference to remain in EU ']	The Irish Times	[]	['Information about the voting intentions of Northern Ireland voters in the upcoming EU referendum is scarce. Most major UK polling companies do not inc']
['Brexit: How EU environmental law affects the North']	The Irish Times	[]	['The European Union has agreed more than 200 legal acts in the environmental policy field and is a highly developed policy area. EU legislation covers ']
['Brexit: 4.1% of NI residents born outside UK or Republic']	The Irish Times	[]	['According to the 2011 Northern Ireland census, approximately 4.5 per cent of Northern Ireland residents, ie 81,314 persons, were born outside of the U']
['Brexit: Northern Ireland and CAP']	The Irish Times	[]	[u'The Common Agricultural Policy and Northern Ireland  Agriculture is one of Northern Irelands most important industries. The industry accounts for an']
['Brexit: the word that cannot be spoken at Bank of America']	The Irish Times	[]	[u'Bank of America is warning senior staff not to use the word ', u' when talking to clients as it']
['Commemorating the 1916 Rising ']	The Irish Times	[]	[' Britain being free of Ireland (', u').  Yours, etc, KEVIN OSULLIVAN, Letterkenny, Co Donegal. Sir']
['Cantillon: What are the odds of a Brexit happening?']	The Irish Times	[]	[' relation to ', '. On the markets, Irish year debt was trading yesterday at levels as low as 0.73 per cent']
[u'Bank of England upsets Eurosceptics and grandlords']	The Irish Times	[]	[' double whammy, it also reiterated the financial risks of ', u' following this Junes EU referendum']
['Brexit: ECB runs rule over Irish banks in readiness for exit']	The Irish Times	['March 30, 2016, 01:00']	[u'The European Central Bank is liaising with banks in Ireland to assess their readiness for a ']
['Buying an imported car? Better do it before Brexit']	The Irish Times	['March 30, 2016, 00:01']	[' is putting a brave face on what it would do in the case of a ', ', you can, reading between the']
['Irish bonds make steady gains in line with other European markets']	The Irish Times	[]	[u' gaining in tandem with other markets.  So far any fears of  ', u' have not affected trade in Irish']
['Political populism is a  condition to be managed, not cured']	The Irish Times	['March 29, 2016, 14:29']	[' the counter-establishment campaign for ', ', where free-market Tories chafe at EU state aid rules']
['Ibec warns of threats to Irish economic growth']	The Irish Times	['March 29, 2016, 00:01']	[u', spiralling wage growth at home and constraints due to Irelands acute housing shortage.  Ibec said a ']
[u'Brexit would severely damage Irish trade - Sean Kelly']	The Irish Times	['March 28, 2016, 10:21']	[u' doubt a ', u' would be negative for the Republic. The UK is Irelands largest European trading']
['The Tories and Europe']	The Irish Times	[]	[u' antimicrobial therapy. As the partys thinking on ', u' is dominated by swivel-eyed loons, a psychiatrist may']
[' Names taken off Brexit  campaign letter']	The Irish Times	[]	[' publicly admitted ', u' would cause severe damage to Britains economy, he said. Corporate figures The']
['Top banker and JD Wetherspoon boss back Brexit ']	The Irish Times	[]	[' Geoghegan told the Financial Times, countering the near anti-', ' consensus among top City bankers. The']
['David Begg:  Luas dispute could be resolved using old methods']	The Irish Times	[]	[' discuss such as: Pensions, Industrial Policy, ', ' and ultimately transition to a low carbon economy']
['Cantillon: Brexit numbers inexact, but the message is clear ']	The Irish Times	[]	[' risks of ', '. ING, the Dutch bank, was the latest into the fray, estimating yesterday that Irish GDP']
['Brexit would hit Ireland almost as hard as UK - research']	The Irish Times	['March 25, 2016, 17:58']	[' in the event of a ', ', estimating that it could cost the economy an amount equal to knocking 1']
[u'Caveat: Facebooks IOG case spells OMG for Ireland ']	The Irish Times	['March 25, 2016, 08:30']	[u' the glorious headline ', u', Trumpit, Bullshit, Do it. Theyd never get away with this sort of']
['Fine Gael and Independents building  castles in the air ']	The Irish Times	['March 25, 2016, 01:00']	[' prospect of more public pay claims.  Growth shock As the ', u' camp advances ahead of Britains summer']
['Cliff Taylor: Setting up new quangos is not the solution']	The Irish Times	['March 25, 2016, 01:00']	[' with the possible fall-out of ', '. With public scepticism of politics at a high level, the Leinster']
['Real link between terrorism and Brexit made by David Cameron ']	The Irish Times	['March 24, 2016, 01:00']	[u'. And the Remainers dare to say were safer in the EU! #', u'. David Cameron said it was not']
[u'Cantillon: Brexit impact on funds played down ']	The Irish Times	[]	[u'A new opinion poll by ICM puts the ', u' camp in a 2 percentage point lead over the campaign to']
['Pound still under pressure over Brexit']	The Irish Times	[]	[' under pressure amid fears over a ', ' vote, while crude oil prices suffered from a rise in the dollar']
[u'Embrace wind energy for greater good, says Minister ']	The Irish Times	['March 23, 2016, 20:05']	[' event, the IWEA said a potential ', u' could compound Irelands energy challenges.  In said there was']
['Markets bounce back in wake of Brussels terrorist attack']	The Irish Times	[]	[u' campaign for a vote to leave the European Union in Junes ', u' referendum. It was back on the defensive']
['Brian Boyd: The narcissism of taking offence  by proxy']	The Irish Times	['March 23, 2016, 01:00']	[u' say were safer in the EU! #', u'.  Pearson was accused of shamelessly pushing a ', ' political']
['The Irish Times view: Brussels attacks represent an assault on all of Europe']	The Irish Times	[]	[' Ukip spokesman on Tuesday cynically enlisted the attacks to the cause of ', ' by insisting they']
[u'Irelands biggest companies begin to feel chill wind of Brexit']	The Irish Times	[]	[u' have plunged to 0.82 per cent, below those of the UK, Spain and Italy. Whats become known as ']
['Asian shares wobble as Fed rate talk revives']	The Irish Times	[]	[u't normally impact sterling but this time it has because of the possible implications for ', u', Jasper']
['Brexit Voices: EU has helped build good relations in the face of past conflicts']	The Irish Times	[]	[u'Over the coming weeks the ', u' debate will tease out the merits or otherwise of the UK']
['David Cameron not alone in disappointing Iain Duncan Smith']	The Irish Times	['March 22, 2016, 01:01']	[' secretary, does not share their support for ', '. Osborne knows from experience what happens when they are']
['Analysis: Tory backbench omerta hints at party truce  ']	The Irish Times	['March 22, 2016, 01:00']	[' support for ', '.  This is, however, the context in which it happened and all of the Conservatives who']
[u'Ireland likely to be Brexits silent victim']	The Irish Times	[]	[u'Irelands high exposure to ', u' risk is set out in new research by Oxford Economics, a']
['Farming union in Northern Ireland rejects calls for Brexit ']	The Irish Times	['March 22, 2016, 01:00']	['Could ', ' be the cause of marriage break-ups in the North if it goes ahead? According to one']
['Markets struggle to extend highs as dollar stabilises']	The Irish Times	[]	[u' bolstering those who favour ', u'. Government bond markets are taking no succour from the dwindling risk']
[u'Brexit could cost Britain 100bn and a million jobs ']	The Irish Times	[]	[u' Industry (CBI). The CBI said ', u' would deliver a serious shock to the British economy, regardless of']
[u'Brexit would strike at the heart of EUs legitimacy ']	The Irish Times	['March 21, 2016, 07:53']	[' as diverse as France, Denmark, Hungary and the Netherlands. A ', ' would strike at the heart of the']
['Brexit Voices: EU links significant to strength of British-Irish relations']	The Irish Times	[]	[u'.  We would be worse off as a ', u' could restrict trade between our two countries, and tensions in']
[' Conference to examine impact of Brexit on Irish energy market ']	The Irish Times	['March 21, 2016, 06:30']	['The impact of a potential ', ' on Irish energy policy and investment will be the focus of']
[u'Caitlin Moran: Having 4% battery left on your phone: thats how it feels to be poor']	The Irish Times	['March 21, 2016, 06:00']	['.  Thoughts on ', '?  I am annoyed because that was basically an internal problem for the Tory party']
['Exporters and small firms voice Brexit fears  ']	The Irish Times	['March 21, 2016, 01:00']	[' Association (IEA) found that 60 per cent expected ', ' would have a harmful effect on their businesses']
['Why scrimping on trade missions a false economy']	The Irish Times	[]	[' UK market, a heavy (and dangerous) dependency in light of a possible ', '.  Trade missions are an']
['Prime Minister David Cameron at war on three fronts']	The Irish Times	[]	['.  Already exposed to fire on ', ' from a significant number of his cabinet, Cameron faces an all']
[u'Iain Duncan Smith warns unfair budget will damage Britain']	The Irish Times	['March 20, 2016, 19:37']	[' Duncan Smith was one of six cabinet ministers to back ', u' and David Camerons allies were quick to']
[u'David Cameron puzzled by Iain Duncan Smith resignation']	The Irish Times	[]	[u' ', u'.  The issue has riven the party for decades. In his resignation letter on Friday, Mr Duncan']
['US Letter: Obama cherishing the words of a nation equally']	The Irish Times	['March 19, 2016, 01:08']	[' ', ' poses to Ireland. Dr John Lahey, the change-agent chairman of the parade, told me before the']
['EU-Turkey refugee plan paves way for misery and terror']	The Irish Times	[]	[' almost equally unsettled by the looming shock of the referendum on ', ', has been similarly deaf to the']
['Irish will be worst hit if UK leaves EU, study finds ']	The Irish Times	['March 19, 2016, 01:00']	[u' living standards in a ', u' scenario but that Ireland suffers the largest proportional losses of any']
['Iain Duncan Smith resigns from British government ']	The Irish Times	[]	['A senior British cabinet minister resigned on Friday citing concerns about the latest round of cuts to benefits announced earlier this week, in a surp']
['Brexit Voices: Nobody arguing trade  will be better if UK leaves  EU']	The Irish Times	[]	[' have not heard even the most vociferous arguer of ', ' argue that the trade deals within the EU could']
['Challenges can only be met by a government with the power to act']	The Irish Times	['March 18, 2016, 01:01']	[' uncertainties include the ', ' referendum in June, an event which could throw into doubt a multitude of']
['Greencore chief warns of rising prices from Brexit']	The Irish Times	[]	[' have not heard even the most vociferous arguer of ', ' argue that the trade deals within the EU could']
['London Letter: Irish disenfranchised at home but may vote on Brexit']	The Irish Times	['March 18, 2016, 01:00']	['Hundreds of thousands of Irish people living in Britain will be eligible to vote in the EU referendum on June 23rd, making us the envy of our continen']
